Action,Action
Bought From,Bought From
Canceled,Canceled
CSV,CSV
Customer Plus,Customer Plus
Discount Amount,Discount Amount
Excl. Tax,Excl. Tax
Incl. Tax,Incl. Tax
Invoiced,Invoiced
Item Status,Item Status
Order #,Order #
Order Date,Order Date
Ordered,Ordered
Original Price,Original Price
Price,Price
Product Name,Product Name
Products Ordered,Products Ordered
Qty,Qty
Refunded,Refunded
Row Total,Row Total
Shipped,Shipped
SKU,SKU
Subtotal,Subtotal
Tax Amount,Tax Amount
Tax Percent,Tax Percent
Total,Total
View Order,View Order
XML,XML
